window,market,code,name,cat,strategy,priceChange,return,maxDrawdown,sharpe,tradeCount,ok,err
W1,A,300059,"东方财富",收藏夹,trend,-8.93,-22.83,17.36,-1.35,8,true,
W1,A,600089,"特变电工",收藏夹,trend,-25.58,-10.51,9.71,-1.52,4,true,
W1,A,300059,"东方财富",收藏夹,trend2,-8.93,-12.06,4.81,-2.70,8,true,
W1,A,300814,"中富电路",收藏夹,trend,-13.53,-23.50,10.55,-1.12,14,true,
W1,A,600089,"特变电工",收藏夹,trend2,-25.58,-11.22,9.71,-1.54,12,true,
W1,A,300059,"东方财富",收藏夹,trend3,-8.93,5.99,0.00,0.50,2,true,
W1,HK,01810,"小米集团-W",收藏夹,trend,106.67,52.38,16.31,2.54,24,true,
W1,A,300059,"东方财富",收藏夹,trend5,-8.93,-21.07,15.74,-1.22,4,true,
W1,A,300814,"中富电路",收藏夹,trend2,-13.53,-10.58,12.59,-0.34,10,true,
W1,A,600089,"特变电工",收藏夹,trend3,-25.58,-8.40,8.40,-2.49,2,true,
W1,A,300814,"中富电路",收藏夹,trend3,-13.53,-32.23,15.53,-1.85,6,true,
W1,HK,01810,"小米集团-W",收藏夹,trend2,106.67,0.15,0.00,0.10,2,true,
W1,A,300059,"东方财富",收藏夹,trend6,-8.93,-21.07,15.74,-1.22,4,true,
W1,HK,01810,"小米集团-W",收藏夹,trend3,106.67,105.00,0.00,3.32,2,true,
W1,A,600089,"特变电工",收藏夹,trend5,-25.58,-7.07,7.07,-2.43,2,true,
W1,A,300814,"中富电路",收藏夹,trend5,-13.53,-30.19,16.18,-2.26,6,true,
W1,A,600089,"特变电工",收藏夹,trend6,-25.58,-4.27,4.27,-2.24,2,true,
W2,A,300059,"东方财富",收藏夹,trend,19.98,4.22,18.67,0.47,12,true,
W1,HK,01810,"小米集团-W",收藏夹,trend5,106.67,76.95,1.25,2.73,4,true,
W1,A,300814,"中富电路",收藏夹,trend6,-13.53,-26.48,17.32,-1.97,6,true,
W2,A,600089,"特变电工",收藏夹,trend,50.46,13.23,16.84,1.11,16,true,
W2,A,300059,"东方财富",收藏夹,trend2,19.98,-5.07,5.23,-0.62,10,true,
W1,HK,01810,"小米集团-W",收藏夹,trend6,106.67,67.06,1.25,2.66,8,true,
W2,A,300814,"中富电路",收藏夹,trend,68.59,13.88,18.93,0.78,18,true,
W2,HK,01810,"小米集团-W",收藏夹,trend,9.31,-10.60,9.72,-0.87,16,true,
W2,A,600089,"特变电工",收藏夹,trend2,50.46,14.08,0.79,1.43,8,true,
W2,A,300059,"东方财富",收藏夹,trend3,19.98,8.62,0.00,0.76,2,true,
W2,A,600089,"特变电工",收藏夹,trend3,50.46,36.78,0.00,2.26,4,true,
W2,A,300059,"东方财富",收藏夹,trend5,19.98,11.56,0.00,0.97,2,true,
W2,A,300814,"中富电路",收藏夹,trend2,68.59,14.63,12.83,0.87,8,true,
W2,HK,01810,"小米集团-W",收藏夹,trend2,9.31,-14.67,6.39,-2.59,10,true,
W2,A,300059,"东方财富",收藏夹,trend6,19.98,1.86,4.50,0.28,4,true,
W2,A,300814,"中富电路",收藏夹,trend3,68.59,27.34,16.19,1.18,4,true,
W2,A,600089,"特变电工",收藏夹,trend5,50.46,44.13,0.00,2.52,2,true,
W2,A,300814,"中富电路",收藏夹,trend5,68.59,25.49,14.96,1.15,4,true,
W2,HK,01810,"小米集团-W",收藏夹,trend3,9.31,-8.42,9.91,-0.95,4,true,
W3,A,300059,"东方财富",收藏夹,trend,-27.74,-4.20,4.20,-0.98,2,true,
W2,HK,01810,"小米集团-W",收藏夹,trend5,9.31,-7.12,7.12,-1.45,2,true,
